"","X","norm_foldChange","pvalue.adj.FDR","log2foldchange"
"1","Il1r2",3.03225506407606,0,1.60039111373346
"2","Fth1",2.44973312432644,0,1.29262458956164
"3","Mt1",5.71277081798084,0,2.51419065378067
"4","Cd14",2.96884304745502,0,1.56990082500406
"5","Lst1",0.430874399340531,0,-1.21466071247913
"6","Prnp",9.53376792698826,0,3.2530465074447
"7","Tpm3-rs7",3.68664523670368,0,1.88230859357485
"8","Gh",0,0,-8.96578428466209
"9","Olfml3",0.0292171105730428,0,-5.09704267994476
"10","Ttr",1.6924752313109,0,0.759134720697521
"11","Lmnb1",1.69585420952333,0,0.762012148534133
"12","Id2",4.33017728423924,0,2.11442609235545
"13","Cxcl2",3.71211176116321,0,1.89224014657774
"14","Rbm3",1.95894374846475,0,0.970075970869353
"15","Cirbp",2.71301741035397,0,1.43989830591345
"16","Trim12a",0.199188689854607,0,-2.32779236291266
"17","Fcrls",0.222456267560954,0,-2.16840634880465
"18","Ltb",0.405622749888759,0,-1.30178952481616
"19","Srgn",1.54562026312277,0,0.628185913180673
"20","Plscr1",3.64866629619339,0,1.86736920933786
"21","Isg15",0.36901210653753,0,-1.43825994593193
"22","Alox5ap",1.65534857922612,0,0.72713504819148
"23","Cebpb",1.54660059970653,0,0.629100677576825
"24","Atp1b3",2.67823513586225,0,1.4212826277461
"25","Lyz2",0.335881969583811,0,-1.57397374227474
"26","Prr5l",0.270120456241339,0,-1.88832519550539
"27","Trim30d",0.121387635654189,0,-3.04230661636484
"28","Tiparp",2.5751445663011,0,1.36465342617207
"29","Pik3ip1",3.69573622881356,0,1.88586179274904
"30","Il1b",0.584264607059878,0,-0.775306196954283
"31","Chil3",1.09680515974201,0,0.133307263170605
"32","Stfa2",12.8862422488632,0,3.68775971628259
"33","Sub1",1.71040517083222,0,0.774338119678715
"34","Gm5150",0.407780964797914,0,-1.29413366291835
"35","Jaml",0.407128148265484,0,-1.29644512406246
"36","Ets2",1.65966342678127,0,0.73089069835152
"37","Pdcd6",1.88976271186441,0,0.918205093754181
"38","Il1rap",1.80215433332468,0,0.849722566305701
"39","Pilra",0.58229188791187,0,-0.780185574604818
"40","Tmcc1",0.614308478715258,0,-0.702964799301562
"41","Klf13",1.4989759268604,0,0.583977214187709
"42","Napsa",2.05617197188921,0,1.03996093214666
"43","Pfkfb3",3.12953842873894,0,1.64594989176692
"44","Ucp2",1.4699559401421,0,0.555772912958837
"45","Tyrobp",0.785226728648159,0,-0.348818812771205
"46","Stfa3",19.8691729323308,0,4.31245991557467
"47","Trim30a",0.62559973391355,0,-0.676688195863714
"48","Rtp4",0.569887700694051,0,-0.811250438089898
"49","Atp6v1g1",1.3818637260908,0,0.466615349889178
"50","Oasl2",0.57906052097637,0,-0.788213954359363
"51","Cebpd",0.66382491018492,0,-0.591125326986732
"52","Apoe",2.4797695262484,0,1.31020604045501
"53","Nos2",11.0440677966102,0,3.46519974427632
"54","Qsox1",2.32290030865869,0,1.21592723968701
"55","Klf9",5.8421518054532,0,2.54649984637816
"56","Wdr26",1.72186171643799,0,0.783969283838156
"57","Cpne2",1.72743403677017,0,0.788630621385458
"58","Ifi27l2a",0.478290106666805,0,-1.06404214510685
"59","Lsp1",0.732553806413365,0,-0.448993364847606
"60","Dck",0.495426258537819,0,-1.01325775868432
"61","Tpt1",1.38132276914139,2.86947150921971e-14,0.466050468785738
"62","Nt5c2",1.92979015334948,5.55675435118737e-14,0.94844397641471
"63","Sod2",3.62464036462042,5.55675435118737e-14,1.85783785859859
"64","Smad4",1.99446009796697,8.07866594134164e-14,0.995998260531609
"65","Csta2",45.3139124293785,8.07866594134164e-14,5.50188215423972
"66","Slpi",0.605977315202681,1.3260436519879e-13,-0.722664307554089
"67","Hilpda",14.5366362451108,2.61250391137914e-13,3.86162156538781
"68","Gm34084",0.456818117077339,3.86112710431769e-13,-1.13030822680629
"69","Rasa2",3.26951474344091,4.05884665651947e-13,1.70907652894018
"70","Ccl3",2.67345071581372,4.25091707865834e-13,1.41870308137221
"71","Bcl2l1",2.62854391371341,4.9306411848564e-13,1.39426383746537
"72","Stfa1",10.7419222694454,5.59148406588229e-13,3.42518028192061
"73","Tmsb4x",0.762351865984092,1.00706657624944e-12,-0.39147106286179
"74","Cstdc4",3.33272991522838,1.22999508476283e-12,1.73670440603237
"75","Rflnb",1.79692024701091,1.40030209649922e-12,0.845526378911759
"76","Chil1",1.55385746375332,1.79644018958781e-12,0.635854170561895
"77","Rdh12",1.56062532100668,1.95496721264501e-12,0.642124212902993
"78","Rab7",1.40725724304918,2.31139608877275e-12,0.49288607366975
"79","Ifitm2",1.44153552767207,2.48154801911254e-12,0.527606393520082
"80","Cstdc5",15.5063174114022,3.39270723997496e-12,3.95478419692022
"81","Marcks",0.661575625546269,3.39270723997496e-12,-0.596022012662493
"82","Rsad2",0.372625051674246,3.71421592669e-12,-1.42420342460336
"83","Cd47",1.40936885101301,4.28104406008044e-12,0.495049233994705
"84","Il1f9",0.583195464800139,5.5011868076755e-12,-0.777948594248214
"85","Prok2",3.55864406779661,6.89854709304761e-12,1.83132764307421
"86","Man2a1",2.49764950431724,8.20235094315675e-12,1.32057103744976
"87","Slfn1",0.699733384117311,8.55069527316333e-12,-0.51512277094722
"88","Rab8b",1.4469918855332,8.6325441744412e-12,0.533056831521444
"89","C5ar2",0.442123629112662,1.32950030510319e-11,-1.17747825430113
"90","Gm50255",20.4519774011299,1.59284363476786e-11,4.35416843188757
"91","Il12a",14.7254237288136,1.84360425476595e-11,3.88023724355516
"92","Ddit4",2.65545835611445,1.84360425476595e-11,1.40896090472795
"93","Ccl4",2.45165930779091,1.96870429158358e-11,1.29375851038662
"94","Ifngr1",1.59603397907944,2.54735806916347e-11,0.674491366427159
"95","Elovl5",5.08377723970944,3.87846830675112e-11,2.34590081590397
"96","Ptprc",0.768320064632319,5.71243029730735e-11,-0.380220664844564
"97","Ifit3",0.251546012721056,6.27609625209314e-11,-1.99110577337426
"98","Trim30b",0.676274073860191,9.46990014749853e-11,-0.564320048283543
"99","Arpc3",1.3397561022747,1.30871668160192e-10,0.421970387201584
"100","Ifi204",0.351974878934625,1.42603264752239e-10,-1.50645563002972
"101","Tax1bp1",1.3082369572737,1.75384371492229e-10,0.387623875791649
"102","AW011738",0.204519774011299,1.7934506385433e-10,-2.28968775788716
"103","Txn1",0.735599208380863,1.90315329838528e-10,-0.443008167700885
"104","Fkbp5",1.8406779661017,1.93871152038155e-10,0.880237243555162
"105","Fam111a",0.531978027137424,2.09928622633508e-10,-0.910561437120552
"106","Hif1a",1.68100166712976,2.52054377369859e-10,0.74932115536447
"107","Snai1",3.40525423728814,2.80763842081963e-10,1.76776251429675
"108","Ifit3b",0.239076563413209,3.43560229648037e-10,-2.06445538476574
"109","Ptpn1",1.40987134678743,3.5840989096062e-10,0.495563520198531
"110","Rpsa",1.76264066609972,3.86992579396147e-10,0.817738395205962
"111","Wfdc17",1.40880223930516,4.6709851802256e-10,0.494469107461686
"112","Cd300lf",1.33429650242198,5.30860101207131e-10,0.416079292491294
"113","Rnf8",2.51936369661964,5.30860101207131e-10,1.33305940529347
"114","Ifit1bl2",0.252786440677966,5.73310087512986e-10,-1.98400901464487
"115","Tet2",1.71824435989085,7.13849655715362e-10,0.780935223748522
"116","Samd9l",0.547060840599589,7.20295480349032e-10,-0.870226805653304
"117","Slc9a3r1",1.59752201301639,7.92457286875679e-10,0.675835810891065
"118","Rnf125",3.35212897891691,8.54377117076964e-10,1.74507766027352
"119","Bin2",0.613559322033898,8.60479754676515e-10,-0.704725257165999
"120","Wnk1",1.59021534430525,9.69388299261927e-10,0.6692221460912
"121","Ngp",0.793872524958491,1.04705853354039e-09,-0.33302072778965
"122","Rpl34",1.39276040034761,1.32617431580141e-09,0.477947089266001
"123","Mapk6",5.37329224447868,1.32617431580141e-09,2.42580630597623
"124","Cyth1",2.7218045112782,1.39253832479484e-09,1.44456345158202
"125","Rps24",1.49831500741099,1.57333742656363e-09,0.583340969493114
"126","Per1",1.92481151862139,1.67005473647761e-09,0.944717181151271
"127","Mt2",6.82832148715145,1.71498415818495e-09,2.77153098411266
"128","Cd63",1.56908998689716,1.85641221492339e-09,0.64992809285893
"129","Antxr2",1.67163611207195,2.10299051385779e-09,0.74126083040635
"130","Dgat2",2.0272,2.80687862354621e-09,1.01948842959136
"131","Gm26740",0.480070367739098,2.97588246496291e-09,-1.058682206246
"132","Mmp8",1.47857302739972,3.12162610070818e-09,0.56420550058748
"133","Neu1",1.86848802035819,3.25129352847415e-09,0.901871314039645
"134","Fbxl5",1.40346926699576,3.68761458350944e-09,0.488997472230727
"135","Cst3",0.621182492212749,4.00406011885829e-09,-0.686910926388468
"136","Dynll1",0.477342167047245,6.72529831987688e-09,-1.06690430929777
"137","Rps9",1.21241473824994,6.89492909482276e-09,0.277883294904677
"138","Srsf5",1.36585196998356,7.10880355708202e-09,0.449801133889309
"139","St8sia4",0.579472693032015,7.22375806973633e-09,-0.787187417357971
"140","Sipa1l1",2.04217899806117,7.32694319026196e-09,1.03010932473551
"141","Ttc7",0.551225606050375,7.41739275674095e-09,-0.859285187861389
"142","Tspo",1.38957007154234,7.64071880570087e-09,0.474638586836229
"143","Tmod3",1.62257680084746,1.17527038918776e-08,0.698286766409001
"144","Hist1h2bc",0.605391343588655,1.17527038918776e-08,-0.724060048481442
"145","1600010M07Rik",0.52999620541361,1.3837024808708e-08,-0.915946064363534
"146","Cd38",19.6338983050847,1.44039773289932e-08,4.295274742834
"147","Cdc42",0.780199518574584,1.48504299726585e-08,-0.358084986745695
"148","Slfn4",0.652722683014786,1.62150606830558e-08,-0.61545791906891
"149","Iqgap1",1.27337367056259,1.65392241572699e-08,0.348655839162023
"150","Ogfrl1",1.26179607372307,1.92172908741739e-08,0.335478766737954
"151","Rplp0",1.44173083072987,2.01772056119813e-08,0.527801840432275
"152","Fmnl2",3.97535310734463,2.61334487982572e-08,1.99108301224345
"153","Rps25",1.35461847687975,2.89255164381358e-08,0.43788657924088
"154","Itm2b",0.75086098000996,2.93411254109827e-08,-0.413382273720351
"155","Adpgk",0.966686989391538,3.30332845550403e-08,-0.0488792702883317
"156","2310001H17Rik",0.675598251627307,3.58625221172004e-08,-0.565762500276598
"157","Slc15a3",1.34712611476864,3.73828705881774e-08,0.429884918828721
"158","Pilrb2",0.490280659177203,3.75852825740123e-08,-1.028320244256
"159","Rgs3",0.461134207440571,4.10083643032008e-08,-1.11674140446961
"160","Phgdh",0.137620782512276,4.33746418754266e-08,-2.86122974284599
"161","Dmxl2",1.41402427486281,4.47421416506973e-08,0.499806887420002
"162","Wfdc21",1.37767079800635,5.19824012380885e-08,0.462231189331246
"163","Ptgs2",0.296579825740171,5.39744724933542e-08,-1.75350763025228
"164","Gda",0.787522060297331,7.1547314952029e-08,-0.34460775762771
"165","Jdp2",1.80127507386099,7.19522318251817e-08,0.849018512944441
"166","Coro1c",2.35406433759945,7.64210335053744e-08,1.23515375039643
"167","Pofut2",2.5137616999747,8.57292090051895e-08,1.32984789138143
"168","Rps27a",1.25899709618268,8.68749921207573e-08,0.332274955552816
"169","Samsn1",1.27939301229884,8.87984485009334e-08,0.355459508784618
"170","Rps3",1.36756300618485,9.75841701301259e-08,0.451607302207199
"171","F13a1",6.60756192959583,1.03908577708357e-07,2.72411804163788
"172","Rgs2",0.660324514262092,1.19083552606669e-07,-0.598752888512901
"173","Bin1",0.552600944466816,1.2461733539494e-07,-0.85569006698157
"174","Taldo1",0.784320820407821,1.60392563763112e-07,-0.350484196495008
"175","Myo1f",0.628127071300066,1.76515280817365e-07,-0.670871646296444
"176","Grina",1.24778023177904,1.90872364246157e-07,0.319363858525303
"177","Cd177",1.12913328610097,1.9933985661006e-07,0.175215795984379
"178","Dazap2",1.27558467454779,2.17795976745424e-07,0.351158669615071
"179","mt-Co1",1.46888257255278,2.21014999473855e-07,0.554719066576785
"180","Stat1",0.6154588864984,2.31148995090259e-07,-0.700265608975297
"181","Elp1",0.576412724248965,2.98944392436432e-07,-0.794825911685142
"182","Ezr",1.4577412223358,3.37979847336185e-07,0.543734635722315
"183","Sp100",0.573341256717652,3.38412279793335e-07,-0.8025339980933
"184","Nfkbia",1.65168687208435,4.58805328955978e-07,0.72394020557714
"185","Nfkbid",0.369058238817382,4.85060483167042e-07,-1.43807959777983
"186","Luc7l2",1.35195538924352,4.91766475122036e-07,0.435047547493634
"187","Saa3",125.43879472693,5.35058566775575e-07,6.97083979233606
"188","Itgal",0.637514408914315,5.36337470953227e-07,-0.649470145175778
"189","Riok3",1.3309279233008,5.63618833986274e-07,0.412432443892851
"190","Anxa2",0.78502159207209,5.86731829566034e-07,-0.349195758912498
"191","Hist1h2ap",0.504081090063144,6.04023260223334e-07,-0.988272260325504
"192","Rnf144a",0.546354041324303,6.28792920612473e-07,-0.872091964008551
"193","Fabp5",0.638602559667935,6.44180810204881e-07,-0.647009759309711
"194","Slc7a11",0.572926254349534,7.60429352747507e-07,-0.803578644092284
"195","Cd53",1.28037219544774,7.75797692363029e-07,0.356563252782442
"196","Fgl2",0.656973138076098,7.8097377931863e-07,-0.606093711183985
"197","Sgms1",1.66983215003899,8.40033950739265e-07,0.739703091635485
"198","Cd164",1.48765011498169,1.01319719236546e-06,0.573035254445798
"199","Vamp5",0.446786486179047,1.13456080404844e-06,-1.16234254518368
"200","Pik3ap1",1.8217668911075,1.27659745762343e-06,0.86533836717582
"201","Gpr34",0.504383307404678,1.50792445637887e-06,-0.987407564508679
"202","Atp11a",1.84718212852608,1.56801624393599e-06,0.885326120227956
"203","Rpl24",1.3511062653495,1.62783161399217e-06,0.434141147989785
"204","Plk2",1.91999742218212,1.69543821793561e-06,0.941104373963323
"205","Efhd2",1.38319952423431,1.71177299950902e-06,0.468009277863133
"206","Rpl6",1.38867112631065,1.77917538287401e-06,0.473704971803775
"207","Fam20c",10.9673728813559,1.77917538287401e-06,3.45514607961239
"208","Sat1",1.28952240054031,1.87842967643549e-06,0.36683683467635
"209","Rack1",1.35980185263345,1.94800465913156e-06,0.443396440409455
"210","Fam174a",1.71300088174782,2.15377539831379e-06,0.77652589403305
"211","Map1lc3b",1.23544147806175,2.17043017263882e-06,0.30502667290082
"212","Klf7",1.51705550016617,2.63235403206289e-06,0.601273866303365
"213","Klra17",0.423476237952808,2.75859948550317e-06,-1.23964707538756
"214","Got1",2.37624245906349,3.06722611661046e-06,1.24868204853023
"215","App",1.36524359289282,3.06722611661046e-06,0.449158386240161
"216","A930005H10Rik",3.01580005745475,3.24326707587016e-06,1.59254078348709
"217","Lilr4b",1.26321036889332,3.44378128858739e-06,0.337094918528629
"218","Dennd4a",1.31978658618738,3.90046044249718e-06,0.400304659931246
"219","Magoh",2.31014381099127,4.16132402526627e-06,1.20798266503784
"220","Pabpc1",1.36192103192122,4.9734388496839e-06,0.445643054188102
"221","Cmpk2",0.29234297108674,5.10409818502069e-06,-1.77426619041907
"222","Tmem189",1.90175626965258,5.10409818502069e-06,0.927332361290459
"223","Oas3",0.606372682829987,5.24450153663326e-06,-0.721723333517896
"224","Stfa2l1",1.78177114885451,5.54035542965823e-06,0.833312048636005
"225","H3f3b",1.28066486982653,5.54831171757956e-06,0.356892994106719
"226","Pgd",0.736271186440678,5.56517744355385e-06,-0.441690851332204
"227","Plxdc2",0.500391713747646,5.8853682899261e-06,-0.998870195539822
"228","Ddx28",3.93399800598205,5.89455377222832e-06,1.97599622636059
"229","Arhgap5",0.536363132823751,5.96099917090676e-06,-0.898718018570141
"230","Rps14",1.2859300814302,6.24201820064512e-06,0.362812202606646
"231","Mbp",0.667529817953547,6.31623647710337e-06,-0.583095812764466
"232","Orm1",10.1721677074041,6.98137698271206e-06,3.34655524777769
"233","Trim12c",0.683838317736623,7.0929702823975e-06,-0.548272830846983
"234","Cdkn1a",2.4900946511116,7.12500908614261e-06,1.31620058168855
"235","Slc16a3",1.25972066379259,7.28753875843033e-06,0.333103859408476
"236","Itgb2l",0.78808286252354,7.4642653421676e-06,-0.343580765882357
"237","Tgfbi",0.733998744507219,7.53547257748479e-06,-0.446150499522904
"238","Il1rn",1.00099466857643,7.5544453296375e-06,0.00143429021903272
"239","Trps1",0.498086078842125,7.81264869127236e-06,-1.00553300563172
"240","Ndufa8",1.63669782210098,8.33846013342521e-06,0.710787986565925
"241","Rpl19",1.35393829139574,8.87183311451119e-06,0.437161986530262
"242","Cxcl3",7.14867954276705,8.99061357913084e-06,2.83767678132711
"243","Mmp9",0.694951518805445,9.1186478449551e-06,-0.525015758804606
"244","Dusp16",2.32980917387697,9.93813682760235e-06,1.22021179385997
"245","Hacd4",0.652279085074873,9.93813682760235e-06,-0.616438724748042
"246","Rpl23a",1.32824906758061,1.00628037225898e-05,0.409525700051863
"247","Atp6v0c",1.29166730577498,1.03538194717247e-05,0.369234523501718
"248","Unc93b1",0.727042855174314,1.03778548111686e-05,-0.459887689304743
"249","Batf",2.80167449458852,1.06933704550529e-05,1.48628934965817
"250","Abr",0.598538095694085,1.09491980224261e-05,-0.740485020283599
"251","Chmp4b",1.24758957603556,1.11318031914421e-05,0.319143403749174
"252","Rps17",1.40066828087167,1.28598749576002e-05,0.486115323929649
"253","Cd300a",0.668327230469007,1.43370659566327e-05,-0.58137343802445
"254","R3hdm4",1.29122185681761,1.58726807217051e-05,0.368736904775026
"255","Nek6",2.06672613737734,1.64827433928142e-05,1.04734722939041
"256","Calm2",0.864750584363175,1.65794995597886e-05,-0.209644011374363
"257","Stat3",1.35256458671169,1.66381392338472e-05,0.435697486254619
"258","Csf3r",0.815674524097651,1.73270980011268e-05,-0.293934501687856
"259","Rps10",1.2658234615151,1.92370626937343e-05,0.340076212857754
"260","Irf2",0.755876739368036,1.9465998859412e-05,-0.403777101182848
"261","Ptpn6",0.735050724859779,1.96442193365326e-05,-0.444084283062781
"262","Pdia3",0.740216237919068,1.97893309125089e-05,-0.433981310899644
"263","Map3k8",1.71663709233311,1.97893309125089e-05,0.779585076946414
"264","AC149090.1",0.571061706654927,2.00160227391622e-05,-0.808281448992596
"265","H2-T24",0.399881946201197,2.04093090446849e-05,-1.32235394680748
"266","Schip1",4.67838983050847,2.1304859752472e-05,2.22601208039689
"267","P2ry12",0.612144939087762,2.15468839471879e-05,-0.708054811011457
"268","Birc3",1.43253938624655,2.17615832489283e-05,0.518574804993652
"269","Rpl28",1.27851259760592,2.33416284953744e-05,0.354466375999232
"270","Sparc",0.555316374934117,2.36290783677377e-05,-0.848618156750022
"271","Anxa11",1.47989172229229,2.62063690315727e-05,0.56549162353902
"272","Lcn2",1.21659618938204,2.67352329622081e-05,0.282850390525709
"273","Rps5",1.446289398986,2.67352329622081e-05,0.532356260938643
"274","Gpx1",0.773023306049081,2.75574826164124e-05,-0.37141618395255
"275","Iscu",1.44274984892521,2.97908759823057e-05,0.528821179940091
"276","Cd33",1.24149678050122,3.0632998782262e-05,0.312080520265502
"277","Timm10b",0.73231273920175,3.28181171657954e-05,-0.449468201923923
"278","Cd300lb",0.594101838248468,3.33042424020007e-05,-0.75121784240845
"279","Rpl9",1.23396541835975,3.34835822912724e-05,0.303301963806636
"280","Ppp1r15b",1.59339964991675,3.64722349419493e-05,0.672108163059154
"281","Msrb1",0.875316711980101,3.69882194115853e-05,-0.192122979507363
"282","P2ry13",0.715486114945067,3.70308625112773e-05,-0.483004325271921
"283","Socs3",1.27296367435676,3.83244226358155e-05,0.34819125068224
"284","Rnd1",2.07076271186441,3.97430185234884e-05,1.05016224499747
"285","Aldoa",0.756532023866096,4.26471677119653e-05,-0.402526942128152
"286","Dennd1c",0.577546057479735,4.33646276039671e-05,-0.791992093383648
"287","Hexa",0.668169314047387,4.442736822185e-05,-0.581714367060654
"288","Ubald2",1.27100130039012,4.61075022426607e-05,0.345965506397488
"289","Rps19",1.49191147835216,4.91058378672318e-05,0.57716193671174
